condition,decay_multiplier,round,seed,player_id,policy,kills,deaths,kd_ratio,peak_mass,food_eaten,circling_index,splits
+25% Stronger (1.25x),1.25,6,695,player_1,Guided Diffusion 1,0.0,0.0,0.0,26.53,29.0,0.6024,0.0
+25% Stronger (1.25x),1.25,6,695,player_2,Champion PPO 2,1.0,0.0,1.0,49.41,48.0,1.3494,1.0
+25% Stronger (1.25x),1.25,6,695,player_3,Guided Diffusion 2,0.0,0.0,0.0,21.94,16.0,0.6505,0.0
+25% Stronger (1.25x),1.25,6,695,player_4,Champion PPO 3,1.0,0.0,1.0,39.8,41.0,1.0719,1.0
+25% Stronger (1.25x),1.25,6,695,player_5,Guided Diffusion 3,0.0,0.0,0.0,22.67,21.0,0.7422,0.0
+25% Stronger (1.25x),1.25,7,714,player_0,Champion PPO 1,0.0,0.0,0.0,37.71,65.0,1.2008,1.0
+25% Stronger (1.25x),1.25,7,714,player_1,Guided Diffusion 1,0.0,0.0,0.0,21.21,19.0,0.6308,0.0
+25% Stronger (1.25x),1.25,7,714,player_2,Champion PPO 2,1.0,0.0,1.0,45.0,45.0,1.4376,1.0
+25% Stronger (1.25x),1.25,7,714,player_3,Guided Diffusion 2,0.0,0.0,0.0,23.65,25.0,0.5415,0.0
+25% Stronger (1.25x),1.25,7,714,player_4,Champion PPO 3,0.0,0.0,0.0,20.54,15.0,1.4711,0.0
+25% Stronger (1.25x),1.25,7,714,player_5,Guided Diffusion 3,0.0,0.0,0.0,18.47,11.0,0.7088,0.0
+25% Stronger (1.25x),1.25,8,733,player_0,Champion PPO 1,2.0,0.0,2.0,82.77,100.0,1.4575,2.0
+25% Stronger (1.25x),1.25,8,733,player_1,Guided Diffusion 1,0.0,0.0,0.0,18.76,11.0,0.5534,0.0
+25% Stronger (1.25x),1.25,8,733,player_2,Champion PPO 2,0.0,1.0,0.0,20.62,24.0,1.071,0.0
+25% Stronger (1.25x),1.25,8,733,player_3,Guided Diffusion 2,0.0,0.0,0.0,22.06,18.0,0.5214,0.0
+25% Stronger (1.25x),1.25,8,733,player_4,Champion PPO 3,0.0,0.0,0.0,19.37,11.0,1.6819,0.0
+25% Stronger (1.25x),1.25,8,733,player_5,Guided Diffusion 3,0.0,1.0,0.0,22.47,22.0,0.5666,0.0
+25% Stronger (1.25x),1.25,9,752,player_0,Champion PPO 1,0.0,0.0,0.0,28.99,36.0,1.3275,0.0
+25% Stronger (1.25x),1.25,9,752,player_1,Guided Diffusion 1,0.0,0.0,0.0,27.46,31.0,0.4811,0.0
+25% Stronger (1.25x),1.25,9,752,player_2,Champion PPO 2,0.0,0.0,0.0,37.39,54.0,1.1985,1.0
+25% Stronger (1.25x),1.25,9,752,player_3,Guided Diffusion 2,0.0,0.0,0.0,32.56,41.0,0.5842,0.0
+25% Stronger (1.25x),1.25,9,752,player_4,Champion PPO 3,0.0,0.0,0.0,35.27,48.0,1.4887,0.0
+25% Stronger (1.25x),1.25,9,752,player_5,Guided Diffusion 3,0.0,0.0,0.0,22.23,19.0,0.5177,0.0
+25% Stronger (1.25x),1.25,10,771,player_0,Champion PPO 1,0.0,0.0,0.0,27.29,30.0,1.4335,0.0
+25% Stronger (1.25x),1.25,10,771,player_1,Guided Diffusion 1,0.0,0.0,0.0,20.93,16.0,0.6493,0.0
+25% Stronger (1.25x),1.25,10,771,player_2,Champion PPO 2,0.0,0.0,0.0,18.49,9.0,1.7355,0.0
+25% Stronger (1.25x),1.25,10,771,player_3,Guided Diffusion 2,0.0,0.0,0.0,25.38,26.0,0.5222,0.0
+25% Stronger (1.25x),1.25,10,771,player_4,Champion PPO 3,0.0,0.0,0.0,20.74,16.0,1.3722,0.0
+25% Stronger (1.25x),1.25,10,771,player_5,Guided Diffusion 3,0.0,0.0,0.0,23.02,22.0,0.5272,0.0
+25% Stronger (1.25x),1.25,11,790,player_0,Champion PPO 1,1.0,0.0,1.0,59.34,65.0,1.5229,1.0
+25% Stronger (1.25x),1.25,11,790,player_1,Guided Diffusion 1,0.0,0.0,0.0,25.73,23.0,0.5282,0.0
+25% Stronger (1.25x),1.25,11,790,player_2,Champion PPO 2,0.0,0.0,0.0,22.03,20.0,1.4446,0.0
+25% Stronger (1.25x),1.25,11,790,player_3,Guided Diffusion 2,0.0,0.0,0.0,30.08,36.0,0.5923,0.0
+25% Stronger (1.25x),1.25,11,790,player_4,Champion PPO 3,0.0,0.0,0.0,22.24,18.0,1.5583,0.0
+25% Stronger (1.25x),1.25,11,790,player_5,Guided Diffusion 3,0.0,1.0,0.0,27.25,36.0,0.5097,0.0
+25% Stronger (1.25x),1.25,12,809,player_0,Champion PPO 1,1.0,0.0,1.0,58.27,60.0,1.2418,1.0
+25% Stronger (1.25x),1.25,12,809,player_1,Guided Diffusion 1,0.0,0.0,0.0,23.84,25.0,0.5468,0.0
+25% Stronger (1.25x),1.25,12,809,player_2,Champion PPO 2,0.0,1.0,0.0,25.73,29.0,1.3512,0.0
+25% Stronger (1.25x),1.25,12,809,player_3,Guided Diffusion 2,0.0,0.0,0.0,23.23,24.0,0.5909,0.0
+25% Stronger (1.25x),1.25,12,809,player_4,Champion PPO 3,0.0,0.0,0.0,17.69,7.0,1.7339,0.0
